OrderId,StopSequenceNumber,CargoChangeSequenceNumber,CargoChangeType,GeneralDescription,Weight,TruckNumber,TrailerNumber,Driver1Name,Driver2Name
"000000000012",5,2,"Drop","Orange juice and x-ray machine parts",8537.2,"31736649001","","Louise Covington",""
"000000000012",6,1,"Drop","Dogfood, Caesar salad mix and apples",7054.2,"389089667016","659705521598","George H. Ramakrishnan-Jackson",""
"000000000013",2,1,"Hook","Stovepipe hats, uranium and hot dog buns",1940.19,"845573235223","53362212506","Ulysses Xing",""
"000000000013",3,1,"Unload","Flash-frozen french fries, x-ray machine parts, orange juice and machinery",8462.93,"29460648689","861995778389","George Ramakrishnan",""
"000000000013",4,1,"Hook","Ice cream cones, lobsters, uranium and flash-frozen french fries",8568.43,"662547044353","","Quincy Ramakrishnan",""
"000000000013",5,1,"Load","Potatoes, x-ray machine parts, engine parts and flash-frozen french fries",5355.81,"","854245308643","Xaviera Kern",""
"000000000013",6,1,"Unload","Stovepipe hats and ice cream cones",3071.07,"433282519922","109229277135","Velma Irvin","Yancey H. Harrison"
"000000000013",7,1,"Load","machinery",2179.66,"67949540979","114058157938","Alfred H. Williams",""
"000000000013",8,1,"Drop","Yoyos, nylon stockings and engine parts",8289.28,"","","Patricia French",""
"000000000013",9,1,"Load","hot dog buns",1577.16,"","605121393453","Velma Quasnoy",""
"000000000013",10,1,"Hook","Bricks, stovepipe hats, windows and potatoes",2176.32,"148235870316","261019731856","Quincy F. Benitez",""
"000000000013",11,1,"Unload","flash-frozen french fries",6218.1,"169858995938","274172988669","Roberta Ramakrishnan",""
"000000000014",2,1,"Hook","Ice cream cones, radium and apples",9484.97,"240297957612","142041022810","William Smith",""
"000000000014",3,1,"Load","ice cream cones",8659.08,"992535738039","","Isaiah Quasnoy",""
"000000000014",4,1,"Hook","uranium",5590.46,"602088611209","371816933109","Alfred Q. Irvin",""
"000000000014",4,2,"Unload","Potatoes, uranium, Caesar salad mix and dogfood",2590.39,"770980151745","","Betty Edwards",""
"000000000014",5,1,"Hook","Bricks, quilts, potatoes and machinery",8385.8,"234919007824","161445486620","Harriet Edwards","Alfred Underwood"
"000000000014",5,2,"Drop","Krazy glue and stovepipe hats",747.13,"901510377216","320040465346","Kevin B. Jackson-Nelson",""
"000000000014",7,1,"Hook","Dogfood, hot dog buns, bricks and engine parts",8088.73,"","72012373164","Velma A. Mitchell-Williams",""
"000000000014",7,2,"Unload","Nylon stockings, x-ray machine parts and krazy glue",1573.8,"995238503938","330724332770","Kevin Mitchell",""
"000000000014",8,1,"Load","potatoes",8092.23,"296708506713","","Kevin Edwards",""
"000000000014",8,2,"Unload","Turtle eggs, apples and uranium",7945.72,"","39185008175","Velma Kern-Yarbrough",""
"000000000014",10,1,"Unload","Ice cream cones, potatoes and nylon stockings",860.75,"575559989127","246518183972","Kevin Harrison",""
"000000000015",2,1,"Hook","Turtle eggs and nylon stockings",5623.51,"599596949240","672400638262","Isaiah Y. Edwards","Nancy S. Quasnoy"
"000000000015",4,1,"Load","turtle eggs",5015.68,"28680460209","","Isaiah N. Perry",""
"000000000015",4,2,"Drop","Turtle eggs, lobsters, potatoes and quilts",4906.73,"","","Louise M. Thompson",""
"000000000015",5,1,"Load","potatoes",1196.21,"422851929655","","Alfred Quasnoy",""
"000000000015",6,1,"Hook","Lobsters and krazy glue",5449.76,"","588979302683","Ulysses E. Lewis Irvin",""
"000000000015",8,1,"Drop","Stovepipe hats, machinery, windows and quilts",2375.76,"227218150415","","Louise Y. Dawson",""
"000000000016",2,1,"Hook","Quilts, nylon stockings and windows",9055.25,"737983398992","","Alfred B. French",""
"000000000016",3,1,"Hook","Lobsters, krazy glue, quilts and jogging pants",6873.97,"474943732218","","William J. Xing",""
"000000000016",4,1,"Hook","hot dog buns",7666.06,"776131407462","","Isaiah Smith",""
"000000000016",5,1,"Load","Krazy glue and velvet",5024.87,"","","Oliver Harrison",""
"000000000016",6,1,"Load","Apples, dogfood, engine parts and ice cream cones",2976.21,"74810705637","","Isaiah Kern",""
"000000000016",7,1,"Drop","Radium, Caesar salad mix, jogging pants and yoyos",7057.18,"302540952881","685567956084","Roberta B. Ramakrishnan",""
"000000000017",2,1,"Hook","Potatoes, velvet and ice cream cones",4321.87,"","","George Thompson",""
"000000000017",3,1,"Drop","Yoyos and bricks",2054.78,"","5401869192","Patricia V. Xing",""
"000000000017",4,1,"Unload","Caesar salad mix and ice cream cones",8417.79,"679314186866","965897126243","Mitchell Harrison",""
"000000000017",5,1,"Drop","Hot dog buns and jogging pants",1244.52,"625999951270","848550484338","Danielle Ramakrishnan",""
"000000000017",6,1,"Unload","Engine parts and hot dog buns",9191.58,"611447079291","108647894555","Danielle S. Perry",""
"000000000017",7,1,"Unload","Engine parts, orange juice, nylon stockings and bricks",726.32,"","955156497386","Harriet Thompson-Kern",""
"000000000017",8,1,"Hook","flash-frozen french fries",5770.68,"408878243484","","Nancy H. Anderson-Jackson",""
"000000000017",9,1,"Load","Orange juice, gold and uranium",9319.6,"694666389501","","William Mitchell",""
"000000000017",9,2,"Unload","windows",2397.42,"715965787381","","William E. Jackson-Smith",""
"000000000017",10,1,"Drop","orange juice",9809.94,"","497665580541","Charles Q. Williams",""
"000000000018",2,1,"Hook","bricks",7225.72,"","36807490228","Patricia Lewis",""
"000000000018",3,1,"Load","nylon stockings",2883.65,"607281594691","","Oliver P. Velazquez",""
"000000000018",5,1,"Drop","apples",7037.11,"569784266962","715965858836","Harriet Underwood",""
"000000000019",2,1,"Load","Windows, apples and orange juice",1254.39,"962256900957","","Samuel Smith",""
"000000000019",4,1,"Load","Ice cream cones and hot dog buns",5109.84,"463932622710","626887987029","Xaviera Williams",""
"000000000019",4,2,"Unload","Caesar salad mix, orange juice, flash-frozen french fries and gold",4290.58,"90837964363","806971740562","George Jackson",""
"000000000019",5,1,"Unload","Lobsters, bricks and windows",9418.44,"117468202502","554940360863","Betty Williams",""
"000000000020",2,1,"Hook","Caesar salad mix and jogging pants",4872.22,"688793825998","414890758071","Isaiah P. Velazquez",""
"000000000020",3,1,"Drop","Yoyos, velvet and x-ray machine parts",7419.78,"899461938454","120509520937","Patricia U. Edwards","Janice O'Toole-Edwards"
"000000000020",6,1,"Hook","krazy glue",1368.01,"","278207559826","Roberta C. Jackson",""
"000000000020",8,1,"Drop","Stovepipe hats, quilts and jogging pants",5559.78,"138801692231","722780493727","Charles O'Toole-Dawson",""
"000000000020",9,1,"Unload","Nylon stockings, apples and quilts",7328.19,"","7305430438","Francis O. Yarbrough",""
"000000000020",11,1,"Unload","Bricks and gold",5813.98,"969961912669","951879832792","Nancy P. Ramakrishnan",""
"000000000021",2,1,"Hook","Turtle eggs, hot dog buns, stovepipe hats and x-ray machine parts",3348.43,"496279610724","760897940450","Yancey Jackson",""
"000000000021",3,1,"Load","Gold and lobsters",503.76,"","318232230260","Danielle Benitez","Yancey Q. Mitchell"
"000000000021",4,1,"Hook","Caesar salad mix and radium",804.88,"","921430342613","Francis Smith",""
"000000000021",6,1,"Load","lobsters",5578.22,"916414328501","","Francis R. Xing",""
"000000000021",7,1,"Load","velvet",8253.46,"949784780002","","Eduardo L. French",""
"000000000021",8,1,"Hook","Orange juice, machinery and Caesar salad mix",8304.88,"553783850608","889066020708","Yancey S. O'Toole",""
"000000000021",9,1,"Drop","uranium",5536.22,"773693485281","582521374479","William D. Dawson",""
"000000000022",2,1,"Hook","Quilts, apples and turtle eggs",1255.51,"417951117894","","Betty L. Yarbrough-Thompson",""
"000000000022",4,1,"Load","Windows, orange juice and hot dog buns",4160.85,"877549388554","","Patricia Velazquez",""
"000000000022",4,2,"Unload","Caesar salad mix",2571.68,"","452763600179","Roberta Jackson",""
"000000000022",5,1,"Load","krazy glue",8851.09,"670733494736","420902763285","Kevin Grimes",""
"000000000022",5,2,"Drop","bricks",4198.96,"","519422611735","Mitchell A. Velazquez",""
"000000000022",6,1,"Drop","Stovepipe hats and potatoes",9348.57,"446085250617","899553659233","Quincy Irvin",""
"000000000023",2,1,"Load","Lobsters, flash-frozen french fries, nylon stockings and engine parts",4855.3,"91676435658","","Yancey Smith","George Dawson-Covington"
"000000000023",3,1,"Load","turtle eggs",1735.73,"6265012306","","Kevin S. Xing-Nelson",""
"000000000023",3,2,"Unload","engine parts",1930.95,"65860275343","230666380597","Eduardo R. Kern",""
"000000000023",4,1,"Drop","Uranium and radium",5350.63,"994919015726","","Roberta L. Covington",""
"000000000024",2,1,"Load","Gold and ice cream cones",1228.15,"","807504691641","Mitchell T. Xing",""
"000000000024",4,1,"Unload","Radium, jogging pants, machinery and x-ray machine parts",4755.99,"889579277569","869567273341","Oliver Underwood",""
"000000000025",2,1,"Load","Dogfood and engine parts",4577.06,"","791449984171","Kevin O'Toole",""
"000000000025",3,1,"Hook","Ice cream cones and bricks",2420.38,"","751481628832","Oliver Mitchell",""
"000000000025",3,2,"Drop","Orange juice, gold and ice cream cones",9781.07,"563526340393","279828014972","Tammy O'Toole","Eduardo M. Mitchell"
"000000000025",5,1,"Drop","Lobsters, x-ray machine parts and Caesar salad mix",145.23,"","478125411754","Oliver L. Nelson",""
"000000000026",2,1,"Hook","Stovepipe hats and lobsters",9632.24,"685516179317","240005996623","Janice T. Benitez",""
"000000000026",3,1,"Hook","Bricks and x-ray machine parts",8889.22,"446755201028","699487519775","Samuel E. Williams",""
"000000000026",4,1,"Hook","Flash-frozen french fries and engine parts",2167.49,"","99963788921","Isaiah O. Williams",""
"000000000026",5,1,"Load","Flash-frozen french fries and bricks",7047.46,"139815361605","409562235522","William Benitez",""
"000000000026",6,1,"Load","Gold and lobsters",6343.17,"","926153100518","Samuel V. Xing",""
"000000000026",7,1,"Load","Engine parts, bricks and Caesar salad mix",2055.59,"591784614433","30428082659","Betty Nelson",""
"000000000026",9,1,"Drop","Apples, radium, lobsters and turtle eggs",9473.36,"162362606751","869234448892","Isaiah C. Quasnoy",""
"000000000026",10,1,"Drop","Bricks, apples and hot dog buns",6526.05,"","","Roberta Williams",""
"000000000027",2,1,"Hook","Nylon stockings, yoyos and bricks",2230.36,"712929266876","","Roberta Kern",""
"000000000027",3,1,"Hook","Orange juice, ice cream cones and krazy glue",5059.68,"","746002256678","Samuel Perry",""
"000000000027",4,1,"Load","windows",8725.14,"753368686249","435326359647","Oliver Anderson",""
"000000000027",5,1,"Hook","Velvet, engine parts, radium and stovepipe hats",1898.73,"584279974945","34045034854","Danielle Quasnoy",""
"000000000027",6,1,"Hook","Radium, apples, orange juice and stovepipe hats",8890.73,"906130363812","","Velma Grimes",""
"000000000027",7,1,"Load","Machinery, orange juice and bricks",1914.98,"458693763143","120157618483","George French",""
"000000000027",8,1,"Unload","quilts",1782.29,"","477637007640","Velma Dawson",""
"000000000028",2,1,"Load","Krazy glue, jogging pants and engine parts",4279.76,"","253650356015","Nancy B. Velazquez",""
"000000000028",3,1,"Load","Machinery and potatoes",4351.25,"526812490334","514164874481","Quincy Perry-Thompson",""
"000000000028",3,2,"Drop","quilts",2583.54,"","149560418743","Louise O. Mitchell",""
"000000000028",4,1,"Unload","gold",3489.29,"","933382058249","Velma Y. Thompson",""
"000000000028",5,1,"Hook","Orange juice, stovepipe hats, potatoes and x-ray machine parts",9060.39,"","","Danielle W. Underwood",""
"000000000028",6,1,"Load","Turtle eggs, nylon stockings and apples",8452.8,"217205949214","369922168985","Quincy Y. Ramakrishnan","Charles R. Benitez-Thompson"
"000000000028",7,1,"Unload","Flash-frozen french fries, turtle eggs and nylon stockings",8935.24,"57062030550","","Louise Benitez",""
"000000000028",8,1,"Hook","Machinery, windows and bricks",6382.4,"50915625340","922268427541","Velma D. Edwards",""
"000000000028",9,1,"Load","Flash-frozen french fries and windows",250.52,"","","Velma L. Xing",""
"000000000028",9,2,"Unload","Apples, krazy glue and gold",1259.35,"285900379097","852369343119","Charles T. Covington",""
"000000000028",10,1,"Hook","Potatoes and hot dog buns",2334.86,"697779981133","","Patricia E. O'Toole-Edwards",""
"000000000028",11,1,"Hook","Ice cream cones and radium",3838.88,"677293080266","644475820996","Oliver Thompson",""
"000000000028",11,2,"Unload","jogging pants",1541.51,"","","Isaiah X. Lewis",""
"000000000028",12,1,"Hook","Uranium, orange juice and machinery",5554.64,"","661583589259","Kevin Kern","Ulysses Xing Quasnoy"
"000000000028",12,2,"Drop","Uranium, velvet, hot dog buns and engine parts",8419.32,"292190037739","947432554611","Alfred O'Toole",""
"000000000028",13,1,"Load","Turtle eggs and windows",3632.6,"533310919721","1579075761","Roberta G. Harrison",""
"000000000028",14,1,"Drop","Hot dog buns, dogfood, yoyos and gold",5221.64,"","","Yancey Quasnoy",""
"000000000028",15,1,"Hook","Krazy glue, dogfood, turtle eggs and gold",6457.25,"697393748520","","Velma Irvin",""
"000000000028",15,2,"Drop","Yoyos, dogfood and flash-frozen french fries",4206.74,"355794285553","","Tammy Jackson",""
"000000000028",16,1,"Unload","Engine parts, velvet, quilts and windows",5117.05,"","","Betty L. Thompson",""
"000000000029",2,1,"Hook","Uranium, ice cream cones and yoyos",347.56,"492382661192","588160558483","Oliver Thompson",""
"000000000029",4,1,"Drop","X-ray machine parts, quilts and machinery",2676.09,"","886034371469","Louise Mitchell",""
"000000000030",2,1,"Hook","Apples, jogging pants, radium and machinery",2892.3,"","","Alfred Jackson",""
"000000000030",3,1,"Load","hot dog buns",6086.86,"21753663325","846152131011","Alfred K. Perry","Charles J. Mitchell-Irvin"
"000000000030",3,2,"Unload","Uranium, machinery and gold",3247.32,"","","Eduardo Covington-French",""
"000000000030",4,1,"Hook","Krazy glue, stovepipe hats and gold",8355.16,"","571836071363","Tammy F. Thompson",""
"000000000030",4,2,"Unload","Nylon stockings, krazy glue and yoyos",8699.46,"","425012672342","Oliver Benitez",""
"000000000030",5,1,"Load","quilts",4244.92,"713954151154","38203096480","Yancey J. Grimes",""
"000000000030",5,2,"Unload","Dogfood and gold",8916.84,"85197788922","583129753574","Quincy K. Irvin",""
"000000000030",6,1,"Unload","Ice cream cones, x-ray machine parts and velvet",3070.96,"","","Eduardo V. Perry",""
"000000000031",2,1,"Hook","x-ray machine parts",7564.6,"219954994517","399677393015","Janice O. Williams",""
"000000000031",3,1,"Load","Caesar salad mix and apples",4488.13,"","694986461600","Mitchell Jackson",""
"000000000031",3,2,"Unload","windows",5863.6,"906057338387","","Alfred Edwards",""
"000000000031",4,1,"Load","Yoyos, turtle eggs, krazy glue and orange juice",5951.97,"431231569463","863379246341","Francis Williams",""
"000000000031",4,2,"Drop","Windows, Caesar salad mix and nylon stockings",9572.4,"311241315552","648658728446","Francis M. French-Benitez",""
"000000000031",5,1,"Hook","Orange juice, dogfood and quilts",2365.7,"751145142433","665737260888","Harriet Y. Ramakrishnan",""
"000000000031",5,2,"Unload","Flash-frozen french fries and machinery",8203.22,"261320308639","416243764249","Betty Velazquez",""
"000000000031",6,1,"Load","Stovepipe hats, hot dog buns and uranium",8459.13,"","","Janice G. Perry",""
"000000000031",6,2,"Unload","Turtle eggs and jogging pants",3536.93,"86958163774","","Ulysses Covington",""
"000000000031",7,1,"Load","Bricks, hot dog buns and nylon stockings",4285.52,"","650959130706","Yancey H. Quasnoy",""
"000000000031",7,2,"Drop","Orange juice and machinery",7162.47,"","","Samuel B. Lewis",""
"000000000031",8,1,"Drop","jogging pants",371.39,"613343708523","139367502890","William C. Yarbrough",""
"000000000031",9,1,"Drop","nylon stockings",7737.56,"","629326500742","Janice Harrison",""
"000000000031",10,1,"Drop","gold",363.85,"","736744706924","Xaviera Kern-Perry",""
"000000000032",2,1,"Load","Nylon stockings and ice cream cones",4184.51,"786403137824","386335985993","William O'Toole",""
"000000000032",3,1,"Drop","Gold and stovepipe hats",9081.77,"515151729220","913139277027","Yancey F. Lewis",""
"000000000033",2,1,"Hook","Hot dog buns, x-ray machine parts and radium",9032.26,"852974548386","414398176531","Alfred Benitez-French",""
"000000000033",3,1,"Drop","Velvet, Caesar salad mix and x-ray machine parts",7944.36,"947034528258","177632069803","Isaiah O. Mitchell",""
"000000000033",4,1,"Load","hot dog buns",7391.95,"","207253148025","Eduardo Ramakrishnan-Anderson",""
"000000000033",5,1,"Unload","x-ray machine parts",4437.96,"","217091471795","Xaviera B. Anderson",""
"000000000033",7,1,"Hook","Orange juice, turtle eggs, lobsters and hot dog buns",633.76,"835227511111","416721928655","Kevin Dawson-Nelson",""
"000000000033",8,1,"Drop","Potatoes and krazy glue",3541.57,"512337252883","","Ulysses N. Lewis",""
"000000000033",9,1,"Hook","Bricks and radium",2298.62,"","934127434569","Harriet M. Smith",""
"000000000033",9,2,"Unload","Dogfood and bricks",2009.58,"928543625386","240468115881","Roberta Irvin",""
"000000000033",10,1,"Load","Nylon stockings, yoyos, turtle eggs and uranium",4168.01,"","257383007538","Nancy C. Velazquez-Perry",""
"000000000033",11,1,"Drop","Velvet, flash-frozen french fries and hot dog buns",3342.68,"","","Louise O'Toole-Xing",""
"000000000034",2,1,"Hook","apples",8544.28,"","","Xaviera U. Benitez",""
"000000000034",3,1,"Hook","hot dog buns",374.51,"711049838142","583250941066","Francis N. Ramakrishnan-Kern",""
"000000000034",4,1,"Hook","Dogfood, potatoes and hot dog buns",9448.97,"","","Oliver Benitez-Velazquez",""
"000000000034",5,1,"Load","orange juice",1685.76,"","502036686182","George Jackson",""
"000000000034",5,2,"Unload","radium",2274.18,"768317754171","846549468890","Roberta Benitez",""
"000000000034",8,1,"Unload","Radium, velvet, apples and jogging pants",3346.9,"","","Velma B. Underwood",""
"000000000035",2,1,"Load","apples",9122.32,"","","Kevin P. Nelson","Eduardo Anderson"
"000000000035",3,1,"Hook","potatoes",6331.52,"","297571017227","Nancy Thompson-Underwood",""
"000000000035",4,1,"Load","apples",1904.42,"","238187735196","Alfred Irvin Lewis",""
"000000000035",4,2,"Unload","Bricks and dogfood",7927.4,"973013478983","130979984792","Danielle O'Toole",""
"000000000035",5,1,"Hook","Orange juice and bricks",8131.67,"280074928427","590366649788","Charles Edwards Mitchell","Janice M. Thompson"
"000000000035",5,2,"Unload","Gold, jogging pants and Caesar salad mix",6602.13,"","701549548115","Isaiah Quasnoy",""
"000000000035",6,1,"Unload","Stovepipe hats, velvet and uranium",7982.07,"","811502220999","Charles O. Grimes",""
"000000000036",2,1,"Hook","yoyos",450.24,"936520267244","724445820852","Louise Q. O'Toole-Dawson",""
"000000000036",7,1,"Hook","Yoyos and windows",6831.32,"778859355545","795308195615","Betty Underwood",""
"000000000036",7,2,"Drop","yoyos",6973.04,"358639625591","385981839969","George B. Irvin",""
"000000000036",8,1,"Hook","uranium",1711.26,"978184771770","","Yancey Nelson",""
"000000000036",8,2,"Drop","Radium, bricks, nylon stockings and jogging pants",5715.43,"531207741972","417918374193","Xaviera Smith",""
"000000000036",9,1,"Load","Uranium, engine parts, yoyos and nylon stockings",4190.23,"681033704236","","Ulysses Thompson",""
